id,brand,name,city,gu,address,gasoline,diesel,self,car_wash,charging_station,car_maintenance,convenience_store,24_hours,lat,lng
96,현대오일뱅크,HD현대오일뱅크㈜직영 중곡현대주유소,서울,광진구,서울 광진구 동일로 435 (중곡동),1628,1529,1,1,0,0,0,0,37.56094119999999,127.09574580000000
97,S-OIL,정해네트웍스(주)일진주유소,서울,광진구,서울 광진구 동일로 413 (중곡동),1667,1567,1,1,0,0,0,1,37.56354400000001,127.08883040000000
98,S-OIL,삼호주유소,서울,광진구,서울 광진구 천호대로 809 (광장동),1697,1627,1,1,0,0,0,1,37.54563560000000,127.10373410000000
99,SK에너지,유니스에너지 자양주유소,서울,광진구,서울 광진구 아차산로 298 (자양동),1748,1648,1,0,0,0,0,0,37.53169200000000,127.07451600000000
100,SK에너지,강평주유소 ㈜강평텔레콤,서울,광진구,서울 광진구 아차산로 616,1848,1747,1,0,0,0,0,0,37.54761190000000,127.10720510000000
101,S-OIL,씨앤에스유통(주) 구로드림주유소,서울,구로구,서울 구로구 경인로 41 (온수동),1590,1490,1,1,0,0,0,0,37.49032450000000,126.82560210000000
102,현대오일뱅크,개봉주유소,서울,구로구,서울 구로구 고척로 115 (개봉동),1592,1494,1,1,0,0,0,0,37.50193720000001,126.84681750000000
103,SK에너지,서서울고속주유소,서울,구로구,서울 구로구 경인로 150 (오류동),1592,1494,1,1,0,0,0,1,37.49167509999999,126.84284180000000
104,현대오일뱅크,㈜자연에너지 고척주유소,서울,구로구,서울 구로구 고척로 199 (고척동),1592,1494,1,1,0,0,0,0,37.50512730000000,126.85544060000000
105,현대오일뱅크,신성주유소,서울,구로구,서울 구로구 구로동로 187 (구로제2동),1615,1525,1,1,0,0,0,0,37.49515880000000,126.88238860000000
106,GS칼텍스,(주)한미석유구로그린주유소,서울,구로구,서울 구로구 구로중앙로 76 (구로동),1615,1495,1,1,0,1,0,0,37.49630640000000,126.88844440000000
107,S-OIL,극동유화(주) 항동주유소,서울,구로구,서울 구로구 서해안로 2154 (항동),1619,1509,1,1,0,0,0,0,37.48343910000000,126.82782790000000
108,SK에너지,SK구로주유소,서울,구로구,서울 구로구 구일로 94 (구로동),1634,1534,1,0,0,0,0,0,37.49360180000000,126.87218900000000
109,SK에너지,구인주유소,서울,구로구,서울 구로구 경인로 558 (구로동),1634,1534,1,0,0,1,1,0,37.50427790000000,126.88609440000000
110,현대오일뱅크,대원셀프주유소,서울,구로구,서울 구로구 개봉로 7,1635,1535,1,1,0,0,0,0,37.48616430000000,126.85615850000000
111,GS칼텍스,대성산업(주)디큐브주유소,서울,구로구,서울 구로구 경인로 650 (신도림동),1644,1534,0,0,0,0,0,1,37.50788550000000,126.88708740000000
112,현대오일뱅크,HD현대오일뱅크㈜직영 신구로주유소,서울,구로구,서울 구로구 가마산로 293 (구로동),1674,1583,1,0,0,0,0,0,37.49752230000000,126.89248410000000
113,현대오일뱅크,HD현대오일뱅크㈜직영 구로셀프주유소,서울,구로구,서울 구로구 시흥대로 531,1684,1564,1,1,0,1,0,1,37.48100270000000,126.89926620000000
114,SK에너지,SK에너지(주)직영 개봉동주유소,서울,구로구,서울 구로구 경인로 290 (개봉동),1699,1599,1,0,0,0,0,0,37.48638990000000,126.85676750000000
115,S-OIL,동아주유소,서울,구로구,서울 구로구 도림로 91 (구로동),1898,1698,0,0,0,0,1,0,37.49085090000000,126.89318780000000
116,SK에너지,(주)화동유업 화동주유소,서울,금천구,서울 금천구 시흥대로 484,1607,1507,1,1,0,0,0,0,37.47679740000000,126.89915960000000
117,S-OIL,구광주유소,서울,금천구,서울 금천구 서부샛길 674 (가산동),1625,1515,1,0,0,0,0,0,37.48203730000000,126.87517110000000
118,현대오일뱅크,HD현대오일뱅크㈜직영 금천현대셀프주유소,서울,금천구,서울 금천구 독산로 147 (시흥동),1644,1539,1,1,0,0,0,0,37.46050600000000,126.90451620000000
119,GS칼텍스,대득에너지(금천셀프주유소),서울,금천구,서울 금천구  시흥대로 81 (시흥동),1665,1565,1,1,0,0,1,1,37.44128050000000,126.90292460000000
120,SK에너지,SK에너지(주) 이가주유소,서울,금천구,서울 금천구 시흥대로 441,1675,1565,1,0,0,1,0,0,37.47302890000000,126.89793410000000
121,S-OIL,백산주유소,서울,금천구,서울특별시 금천구  시흥대로 174 (시흥동),1685,1595,1,1,0,1,0,0,37.44968560000000,126.90294960000000
122,GS칼텍스,지에스칼텍스(주)일신주유소,서울,금천구,서울 금천구 시흥대로 118,1685,1585,1,1,0,0,0,0,37.44447390000000,126.90426570000000
